time,.x,.y,.theta
2019/02/15/16:22:01.746982,25.65331031,-100.29115319,-2.18340641337
2019/02/15/16:22:01.849555,25.65331,-100.2911538,-2.16145025265
2019/02/15/16:22:01.966915,25.65330983,-100.29115434,-2.1427402183
2019/02/15/16:22:02.075273,25.65330956,-100.29115496,-2.12167421899
2019/02/15/16:22:02.192586,25.65330898,-100.29115521,-2.10254540265
2019/02/15/16:22:02.300119,25.65330889,-100.29115575,-2.08285798838
2019/02/15/16:22:02.452184,25.65330867,-100.29115633,-2.06475901622
2019/02/15/16:22:02.565768,25.6533081,-100.29115727,-2.04009748387
2019/02/15/16:22:02.669490,25.65330789,-100.29115788,-2.02168425876
2019/02/15/16:22:02.770991,25.65330734,-100.29115862,-2.00543525107
2019/02/15/16:22:02.877347,25.65330735,-100.29115972,-1.98988439091
2019/02/15/16:22:02.990423,25.65330719,-100.29116032,-1.97579960062
2019/02/15/16:22:03.100399,25.65330687,-100.2911612,-1.96077231783
2019/02/15/16:22:03.215935,25.6533067,-100.29116186,-1.94632094349
2019/02/15/16:22:03.325056,25.65330654,-100.2911629,-1.93040349929
2019/02/15/16:22:03.429339,25.65330641,-100.29116357,-1.91539379335
2019/02/15/16:22:03.510395,25.65330654,-100.29116401,-1.90200701744
2019/02/15/16:22:03.617656,25.65330644,-100.29116449,-1.89226810567
2019/02/15/16:22:03.722270,25.65330635,-100.29116513,-1.88008574412
2019/02/15/16:22:03.826311,25.65330624,-100.29116575,-1.86940433984
2019/02/15/16:22:03.923967,25.65330595,-100.2911663,-1.85926395663
2019/02/15/16:22:04.040677,25.65330586,-100.29116694,-1.8494376932
2019/02/15/16:22:04.149879,25.65330555,-100.29116789,-1.83879130948
2019/02/15/16:22:04.267001,25.65330547,-100.29116858,-1.82837169388
2019/02/15/16:22:04.372087,25.65330538,-100.2911693,-1.81774262071
2019/02/15/16:22:04.516823,25.65330538,-100.2911701,-1.80927776494
2019/02/15/16:22:04.625134,25.65330529,-100.29117101,-1.79636236845
2019/02/15/16:22:04.743824,25.65330517,-100.2911717,-1.78529693642
2019/02/15/16:22:04.851364,25.6533051,-100.29117243,-1.77412684219
