time,.x,.y,.z
2019/02/15/16:04:29.377977,0.032127212733,-0.0124033112079,-0.0124709997326
2019/02/15/16:04:29.475942,0.0421945378184,-0.024568695575,-0.0084790000692
2019/02/15/16:04:29.632226,0.0415568836033,-0.0286011435091,-0.0110689997673
2019/02/15/16:04:29.733823,0.0392633490264,-0.0247262921184,-0.00815500039607
2019/02/15/16:04:29.835532,0.0355965457857,-0.0169966518879,-0.000956000003498
2019/02/15/16:04:29.952650,0.0310901608318,-0.0113754859194,0.00647900020704
2019/02/15/16:04:30.055697,0.0287483986467,-0.00758483540267,0.00423499988392
2019/02/15/16:04:30.158346,0.0274105444551,-0.00369622488506,0.00431300001219
2019/02/15/16:04:30.261136,0.0261597204953,-0.000817972701043,0.0153029998764
2019/02/15/16:04:30.377533,0.0321385450661,-0.000337602570653,0.0142630003393
2019/02/15/16:04:30.483087,0.0458304993808,-0.00828042905778,0.0118570001796
2019/02/15/16:04:30.630337,0.0444052368402,-0.0154329184443,0.00149099994451
2019/02/15/16:04:30.732900,0.0474665649235,-0.0162149649113,-0.00424299994484
2019/02/15/16:04:30.833464,0.0491437315941,-0.0120371878147,-0.0119749996811
2019/02/15/16:04:30.951469,0.0377875305712,-0.00788052380085,-0.0256270002574
2019/02/15/16:04:31.060191,0.0251662507653,-0.000812333077192,-0.0354919992387
2019/02/15/16:04:31.177394,0.0164792872965,-0.00452030077577,-0.0353309996426
2019/02/15/16:04:31.285063,0.0257805790752,-0.0176454521716,-0.0269530005753
2019/02/15/16:04:31.401527,0.0419139824808,-0.0280752144754,-0.0170740000904
2019/02/15/16:04:31.541636,0.0562555491924,-0.040685556829,-0.00851400010288
2019/02/15/16:04:31.658645,0.0853071436286,-0.0335811376572,0.0679989978671
2019/02/15/16:04:31.775388,0.0735691934824,-0.0159866698086,0.0450170002878
2019/02/15/16:04:31.885297,0.066798388958,0.00519378203899,0.0448140017688
2019/02/15/16:04:32.001555,0.0714443922043,0.0102322688326,0.0413229987025
2019/02/15/16:04:32.109684,0.0831478685141,0.000656821765006,0.0404830016196
2019/02/15/16:04:32.228157,0.0963210761547,-0.0179791636765,0.0519479997456
2019/02/15/16:04:32.337021,0.0943650305271,-0.0398025251925,0.0700979977846
2019/02/15/16:04:32.456106,0.0856225192547,-0.0529791042209,0.0739739984274
2019/02/15/16:04:32.602484,0.0875748470426,-0.0635975375772,0.0604330003262
2019/02/15/16:04:32.710449,0.0857071280479,-0.0522999875247,0.0388710014522
2019/02/15/16:04:32.826064,0.0710469186306,-0.0360046513379,0.0295969992876
2019/02/15/16:04:32.935302,0.0724986121058,-0.0192080698907,0.036603000015
2019/02/15/16:04:33.052659,0.0958042219281,0.010888081044,0.0614730007946
2019/02/15/16:04:33.157627,0.149904027581,0.00804920867085,0.0290799997747
2019/02/15/16:04:33.259410,0.212080210447,-0.00547609943897,-0.0153780002147
2019/02/15/16:04:33.377747,0.273283213377,-0.0156618114561,-0.0841789990664
2019/02/15/16:04:33.476745,0.369626522064,-0.0146031798795,-0.158434003592
2019/02/15/16:04:33.632944,0.440640151501,-0.00350814498961,-0.158171996474
2019/02/15/16:04:33.734727,0.522789180279,0.0356156751513,-0.120770998299
2019/02/15/16:04:33.836446,0.565453112125,0.0555220171809,-0.0264430008829
2019/02/15/16:04:33.952850,0.629292786121,0.0608577802777,0.0932509973645
2019/02/15/16:04:34.057052,0.686367809772,0.0493887364864,0.205678001046
2019/02/15/16:04:34.167605,0.759326457977,0.0362257398665,0.284343004227
2019/02/15/16:04:34.282021,0.810121297836,0.0320731140673,0.237958997488
2019/02/15/16:04:34.386872,0.870205879211,0.0402967482805,0.100160002708
2019/02/15/16:04:34.484680,0.899194538593,0.0712981000543,-0.02624299936
2019/02/15/16:04:34.572304,0.87398570776,0.102259941399,-0.135032996535
2019/02/15/16:04:34.663139,0.858253598213,0.118172481656,-0.210709005594
2019/02/15/16:04:34.781711,0.855142116547,0.138046815991,-0.303267985582
2019/02/15/16:04:34.883525,0.864639341831,0.163180410862,-0.299070000648
2019/02/15/16:04:34.985003,0.848168194294,0.172669500113,-0.217114001513
2019/02/15/16:04:35.106941,0.852465391159,0.167597085238,-0.047988999635
2019/02/15/16:04:35.212557,0.815259158611,0.143061265349,0.168760001659
2019/02/15/16:04:35.332095,0.862496674061,0.113015368581,0.34242400527
