time,.x,.y,.theta
2018/10/24/17:21:18.326247,25.6533404,-100.29111788,-125.845001221
2018/10/24/17:21:18.477314,25.65334033,-100.29111798,-126.108001709
2018/10/24/17:21:18.623172,25.65334033,-100.29111804,-126.379997253
2018/10/24/17:21:18.773198,25.65334027,-100.29111807,-126.758003235
2018/10/24/17:21:18.930016,25.65334021,-100.29111812,-127.240997314
2018/10/24/17:21:19.076289,25.65334019,-100.29111818,-127.73400116
2018/10/24/17:21:19.226490,25.65334021,-100.29111803,-128.238998413
2018/10/24/17:21:19.376438,25.65334016,-100.29111804,-128.731994629
2018/10/24/17:21:19.527965,25.65334016,-100.29111793,-129.179992676
2018/10/24/17:21:19.678117,25.65334015,-100.29111804,-129.565002441
2018/10/24/17:21:19.828341,25.65334014,-100.29111801,-129.908996582
2018/10/24/17:21:19.977007,25.6533401,-100.29111798,-130.00100708
2018/10/24/17:21:20.126032,25.6533401,-100.29111794,-129.925994873
2018/10/24/17:21:20.276026,25.6533401,-100.29111785,-129.921005249
2018/10/24/17:21:20.427534,25.65334015,-100.29111782,-129.934997559
2018/10/24/17:21:20.577112,25.65334012,-100.29111782,-129.809005737
2018/10/24/17:21:20.722564,25.65334028,-100.29111769,-129.613998413
2018/10/24/17:21:20.879654,25.65334032,-100.29111764,-129.542999268
2018/10/24/17:21:21.027162,25.65334033,-100.29111758,-129.658004761
2018/10/24/17:21:21.178101,25.65334033,-100.29111759,-129.807006836
2018/10/24/17:21:21.328648,25.65334035,-100.29111756,-129.906997681
2018/10/24/17:21:21.476957,25.65334041,-100.29111751,-129.951004028
2018/10/24/17:21:21.626014,25.65334047,-100.29111754,-129.934005737
2018/10/24/17:21:21.776777,25.65334047,-100.29111753,-129.979995728
2018/10/24/17:21:21.928136,25.65334049,-100.29111753,-130.147003174
2018/10/24/17:21:22.080077,25.65334054,-100.29111752,-130.253005981
2018/10/24/17:21:22.226786,25.65334058,-100.29111754,-130.175003052
2018/10/24/17:21:22.376783,25.6533406,-100.29111754,-129.994995117
2018/10/24/17:21:22.527169,25.65334041,-100.29111755,-129.897003174
2018/10/24/17:21:22.678527,25.65334046,-100.29111761,-129.910003662
2018/10/24/17:21:22.827450,25.6533405,-100.29111764,-129.906997681
2018/10/24/17:21:22.979330,25.6533405,-100.29111767,-129.873001099
2018/10/24/17:21:23.124383,25.65334049,-100.29111771,-129.886993408
2018/10/24/17:21:23.282675,25.6533405,-100.29111775,-129.809997559
2018/10/24/17:21:23.425995,25.65334056,-100.29111773,-129.686004639
2018/10/24/17:21:23.576237,25.65334056,-100.29111773,-129.662994385
2018/10/24/17:21:23.722248,25.65334049,-100.29111782,-129.652999878
2018/10/24/17:21:23.872198,25.65334046,-100.29111785,-129.582000732
2018/10/24/17:21:24.028829,25.65334043,-100.29111805,-129.490005493
2018/10/24/17:21:24.178847,25.65334041,-100.29111806,-129.404006958
2018/10/24/17:21:24.327071,25.65334047,-100.29111792,-129.302993774
2018/10/24/17:21:24.476914,25.65334051,-100.29111787,-129.207000732
2018/10/24/17:21:24.627336,25.65334051,-100.29111794,-129.201004028
2018/10/24/17:21:24.777070,25.65334051,-100.29111795,-129.225006104
2018/10/24/17:21:24.923426,25.65334051,-100.29111798,-129.238998413
2018/10/24/17:21:25.073418,25.65334042,-100.29111801,-129.222000122
2018/10/24/17:21:25.229807,25.65334036,-100.29111806,-129.180999756
2018/10/24/17:21:25.376570,25.6533403,-100.29111811,-129.175994873
2018/10/24/17:21:25.526739,25.65334017,-100.29111828,-128.906997681
2018/10/24/17:21:25.676952,25.65333992,-100.29111872,-128.333999634
2018/10/24/17:21:25.828088,25.65333936,-100.29111973,-127.587997437
2018/10/24/17:21:25.978030,25.65333875,-100.29112062,-126.752998352
2018/10/24/17:21:26.128159,25.65333797,-100.2911222,-125.68800354
