time,.x,.y,.theta
2018/10/24/17:23:06.428409,25.65333908,-100.29112051,-164.257995605
2018/10/24/17:23:06.579298,25.65333899,-100.29112055,-163.940994263
2018/10/24/17:23:06.735258,25.65333905,-100.29112065,-163.408996582
2018/10/24/17:23:06.881862,25.65333909,-100.29112072,-163.050994873
2018/10/24/17:23:07.033426,25.65333896,-100.29112082,-163.016998291
2018/10/24/17:23:07.182101,25.65333886,-100.29112083,-163.309997559
2018/10/24/17:23:07.333421,25.65333897,-100.29112093,-163.572998047
2018/10/24/17:23:07.483595,25.65333902,-100.29112096,-163.597000122
2018/10/24/17:23:07.632885,25.65333895,-100.291121,-163.62399292
2018/10/24/17:23:07.782391,25.65333852,-100.29112093,-163.585998535
2018/10/24/17:23:07.931607,25.65333861,-100.29112099,-163.453994751
2018/10/24/17:23:08.083156,25.65333876,-100.29112078,-163.386001587
2018/10/24/17:23:08.228926,25.65333874,-100.29112082,-163.380004883
2018/10/24/17:23:08.385206,25.65333858,-100.29112082,-163.408004761
2018/10/24/17:23:08.531881,25.65333867,-100.29112089,-163.37600708
2018/10/24/17:23:08.682144,25.65333862,-100.29112091,-163.216003418
2018/10/24/17:23:08.832228,25.65333868,-100.29112092,-162.962005615
2018/10/24/17:23:08.983682,25.65333879,-100.29112091,-162.660003662
2018/10/24/17:23:09.132380,25.6533389,-100.29112102,-162.347000122
2018/10/24/17:23:09.284739,25.65333853,-100.29112112,-162.009002686
2018/10/24/17:23:09.429850,25.65333857,-100.29112118,-161.664993286
2018/10/24/17:23:09.583192,25.65333856,-100.29112126,-161.348007202
2018/10/24/17:23:09.732218,25.65333867,-100.29112137,-161.102996826
2018/10/24/17:23:09.882206,25.65333861,-100.29112144,-160.962005615
2018/10/24/17:23:10.028034,25.65333867,-100.29112138,-160.899002075
2018/10/24/17:23:10.184432,25.65333859,-100.29112126,-160.854003906
2018/10/24/17:23:10.331210,25.65333872,-100.29112135,-160.729995728
2018/10/24/17:23:10.482878,25.65333858,-100.29112124,-160.537002563
2018/10/24/17:23:10.634037,25.65333872,-100.29112132,-160.389007568
2018/10/24/17:23:10.783917,25.65333879,-100.29112136,-160.319000244
2018/10/24/17:23:10.933798,25.6533389,-100.29112144,-160.378997803
2018/10/24/17:23:11.078667,25.65333883,-100.29112149,-160.481994629
2018/10/24/17:23:11.231945,25.65333886,-100.29112157,-160.490005493
2018/10/24/17:23:11.382223,25.65333892,-100.29112161,-160.449996948
2018/10/24/17:23:11.532353,25.65333903,-100.2911217,-160.438995361
2018/10/24/17:23:11.682516,25.653339,-100.29112167,-160.496002197
2018/10/24/17:23:11.828093,25.65333899,-100.29112174,-160.63999939
2018/10/24/17:23:11.984533,25.65333898,-100.29112168,-160.833999634
2018/10/24/17:23:12.134613,25.6533391,-100.29112179,-160.988998413
2018/10/24/17:23:12.281369,25.65333898,-100.29112179,-161.111999512
2018/10/24/17:23:12.431717,25.65333893,-100.29112179,-161.23399353
2018/10/24/17:23:12.583206,25.65333887,-100.29112172,-161.212997437
2018/10/24/17:23:12.731794,25.65333872,-100.29112197,-160.75
2018/10/24/17:23:12.882908,25.65333829,-100.29112232,-160.039001465
2018/10/24/17:23:13.033048,25.65333776,-100.29112273,-159.149002075
2018/10/24/17:23:13.178079,25.65333659,-100.2911236,-158.065994263
2018/10/24/17:23:13.328514,25.65333569,-100.29112436,-156.934005737
2018/10/24/17:23:13.482741,25.65333447,-100.29112549,-155.617996216
2018/10/24/17:23:13.633181,25.65333348,-100.29112674,-154.201004028
2018/10/24/17:23:13.784456,25.65333208,-100.29112843,-152.813995361
2018/10/24/17:23:13.935699,25.65333098,-100.2911297,-151.580993652
2018/10/24/17:23:14.081784,25.65332959,-100.29113088,-150.347000122
2018/10/24/17:23:14.233274,25.65332852,-100.29113225,-149.001998901
2018/10/24/17:23:14.383389,25.65332715,-100.29113394,-147.654006958
2018/10/24/17:23:14.532271,25.653326,-100.2911355,-146.414001465
2018/10/24/17:23:14.682563,25.65332502,-100.29113721,-145.345001221
2018/10/24/17:23:14.833443,25.65332368,-100.29113888,-144.406997681
2018/10/24/17:23:14.978354,25.65332262,-100.29114058,-143.356002808
2018/10/24/17:23:15.129022,25.65332153,-100.29114238,-142.106994629
2018/10/24/17:23:15.285249,25.6533204,-100.29114402,-140.830993652
2018/10/24/17:23:15.434054,25.65331932,-100.2911459,-139.794006348
2018/10/24/17:23:15.582278,25.65331839,-100.29114765,-138.95199585
2018/10/24/17:23:15.733262,25.65331738,-100.29114963,-138.141998291
2018/10/24/17:23:15.883831,25.65331665,-100.29115129,-137.29800415
2018/10/24/17:23:16.032572,25.65331533,-100.29115313,-136.373001099
2018/10/24/17:23:16.182811,25.65331404,-100.2911547,-135.533004761
2018/10/24/17:23:16.333871,25.65331307,-100.29115674,-134.856994629
2018/10/24/17:23:16.479414,25.65331203,-100.29115881,-134.32699585
2018/10/24/17:23:16.629431,25.6533115,-100.29116072,-133.744995117
2018/10/24/17:23:16.785975,25.6533108,-100.29116234,-133.104995728
2018/10/24/17:23:16.936009,25.65330997,-100.29116443,-132.42300415
2018/10/24/17:23:17.083437,25.65330922,-100.29116582,-131.695999146
2018/10/24/17:23:17.233249,25.65330846,-100.29116786,-130.807006836
2018/10/24/17:23:17.383622,25.65330775,-100.29116949,-129.798995972
2018/10/24/17:23:17.534189,25.65330702,-100.29117153,-129.020996094
2018/10/24/17:23:17.682717,25.65330589,-100.29117322,-128.404006958
2018/10/24/17:23:17.833677,25.65330525,-100.29117511,-127.869003296
2018/10/24/17:23:17.982513,25.6533046,-100.29117707,-127.254997253
2018/10/24/17:23:18.132254,25.65330398,-100.29117914,-126.593002319
2018/10/24/17:23:18.278255,25.65330351,-100.29118123,-126.018997192
2018/10/24/17:23:18.435853,25.65330339,-100.29118309,-125.565002441
2018/10/24/17:23:18.585798,25.65330293,-100.29118516,-125.069000244
2018/10/24/17:23:18.732088,25.65330246,-100.29118721,-124.408996582
2018/10/24/17:23:18.882922,25.6533018,-100.29118926,-123.625
