time,.x,.y,.z
2018/10/24/17:20:53.120922,0.103170998394,0.0229770001024,0.0436839982867
2018/10/24/17:20:53.270662,0.0954359993339,-0.0663499981165,0.0487960018218
2018/10/24/17:20:53.419594,0.000224000003072,-0.111587002873,0.0481900013983
2018/10/24/17:20:53.569677,-0.069907002151,-0.0630249977112,0.030313000083
2018/10/24/17:20:53.721481,-0.0904740020633,0.0238499995321,0.0122520001605
2018/10/24/17:20:53.865919,-0.0722389966249,0.0592029988766,0.0150549998507
2018/10/24/17:20:54.022953,-0.00590099999681,0.0374229997396,0.0244660004973
2018/10/24/17:20:54.165586,0.0864349976182,0.00989099964499,0.00849200040102
2018/10/24/17:20:54.321547,0.12965400517,-0.027215000242,0.0226269997656
2018/10/24/17:20:54.469169,0.068249002099,-0.0433729998767,0.0546660013497
2018/10/24/17:20:54.621749,-0.0314039997756,-0.0138889998198,0.0620820000768
2018/10/24/17:20:54.766396,-0.0877759978175,0.0508750006557,0.0356860011816
2018/10/24/17:20:54.916732,-0.0563520006835,0.0521229989827,0.00420199986547
2018/10/24/17:20:55.071303,-0.026665000245,-0.038683000952,0.00685800006613
2018/10/24/17:20:55.219619,-0.0307320002466,-0.0948069989681,0.013298000209
2018/10/24/17:20:55.370994,-0.00161499995738,-0.0548430010676,-0.00501300022006
2018/10/24/17:20:55.519869,0.0685089975595,0.0598669983447,-0.0219219997525
2018/10/24/17:20:55.671232,0.100841000676,0.123969003558,-0.0100809996948
2018/10/24/17:20:55.821249,0.0645459964871,0.0687170028687,0.0154200000688
2018/10/24/17:20:55.970113,-0.0196739993989,-0.0533509999514,0.0231030005962
2018/10/24/17:20:56.120321,-0.103290997446,-0.115195997059,-0.00111099996138
2018/10/24/17:20:56.269349,-0.121766999364,-0.0605029985309,-0.0267709996551
2018/10/24/17:20:56.420309,-0.0318010002375,0.0277639999986,-0.0286560002714
2018/10/24/17:20:56.570914,0.091155000031,0.058097999543,-0.0190030001104
2018/10/24/17:20:56.720778,0.120843999088,0.0358720012009,-0.00587099976838
2018/10/24/17:20:56.869617,0.0423469990492,0.00782299973071,-0.00264499988407
2018/10/24/17:20:57.019633,-0.0536519996822,-0.0183569993824,-0.00788499973714
2018/10/24/17:20:57.171379,-0.0806979984045,-0.0256190001965,-0.00786999985576
2018/10/24/17:20:57.322395,-0.057528000325,-0.0253139995039,0.0075300000608
2018/10/24/17:20:57.467011,-0.00156000000425,-0.03309699893,0.0194000005722
2018/10/24/17:20:57.620209,0.0611369982362,-0.0147510003299,0.0260489992797
2018/10/24/17:20:57.770439,0.100272998214,0.0478489995003,0.0302949994802
