time,.x,.y,.z
2018/10/24/17:22:36.473597,-0.0109999999404,0.0320000015199,-0.0
2018/10/24/17:22:36.627876,-0.00600000005215,0.0309999994934,-0.00800000037998
2018/10/24/17:22:36.779620,-0.0010000000475,0.0189999993891,-0.00700000021607
2018/10/24/17:22:36.924714,-0.0010000000475,0.0120000001043,-0.00499999988824
2018/10/24/17:22:37.074688,-0.00600000005215,0.0250000003725,-0.00400000018999
2018/10/24/17:22:37.227583,-0.0219999998808,0.0280000008643,-0.0010000000475
2018/10/24/17:22:37.377814,-0.00999999977648,0.019999999553,0.0010000000475
2018/10/24/17:22:37.527799,0.00999999977648,0.0189999993891,0.0
2018/10/24/17:22:37.681945,0.00600000005215,0.0179999992251,0.0109999999404
2018/10/24/17:22:37.829880,-0.00899999961257,0.0230000000447,0.0149999996647
2018/10/24/17:22:37.975931,-0.00700000021607,0.0280000008643,-0.00200000009499
2018/10/24/17:22:38.126982,0.00600000005215,0.0340000018477,-0.0270000007004
2018/10/24/17:22:38.277506,0.00899999961257,0.0359999984503,-0.0270000007004
2018/10/24/17:22:38.428698,0.00499999988824,0.0289999991655,-0.00800000037998
2018/10/24/17:22:38.580122,-0.00300000002608,0.0270000007004,0.0010000000475
2018/10/24/17:22:38.725763,-0.00899999961257,0.0219999998808,0.00300000002608
2018/10/24/17:22:38.879388,0.0010000000475,0.0209999997169,0.00999999977648
2018/10/24/17:22:39.029372,-0.00400000018999,0.0149999996647,0.00600000005215
2018/10/24/17:22:39.174312,-0.0230000000447,0.0170000009239,-0.00800000037998
2018/10/24/17:22:39.324108,-0.01600000076,0.0189999993891,-0.0179999992251
2018/10/24/17:22:39.474488,-0.0010000000475,0.0149999996647,-0.0130000002682
2018/10/24/17:22:39.631740,0.00499999988824,0.00800000037998,0.00400000018999
2018/10/24/17:22:39.777200,-0.00800000037998,0.00600000005215,0.0189999993891
2018/10/24/17:22:39.928997,-0.00899999961257,-0.00400000018999,0.00700000021607
2018/10/24/17:22:40.078977,0.00600000005215,-0.00700000021607,-0.0170000009239
2018/10/24/17:22:40.227504,0.0230000000447,-0.00600000005215,-0.0120000001043
2018/10/24/17:22:40.379141,0.0149999996647,-0.00300000002608,0.0179999992251
2018/10/24/17:22:40.524780,0.0010000000475,-0.00300000002608,0.00700000021607
2018/10/24/17:22:40.675179,0.00300000002608,-0.00899999961257,-0.0240000002086
2018/10/24/17:22:40.827910,0.0219999998808,-0.0109999999404,-0.0149999996647
2018/10/24/17:22:40.978329,0.0280000008643,-0.00800000037998,0.0170000009239
2018/10/24/17:22:41.128392,0.0280000008643,-0.00899999961257,0.00400000018999
2018/10/24/17:22:41.278533,0.0170000009239,-0.0109999999404,-0.0329999998212
2018/10/24/17:22:41.428560,0.0189999993891,-0.0130000002682,-0.0280000008643
2018/10/24/17:22:41.579795,0.0120000001043,-0.0109999999404,0.00200000009499
2018/10/24/17:22:41.730978,-0.00400000018999,-0.0140000004321,0.00600000005215
2018/10/24/17:22:41.877828,-0.0120000001043,-0.0149999996647,-0.01600000076
2018/10/24/17:22:42.029135,0.00400000018999,-0.0230000000447,-0.00600000005215
2018/10/24/17:22:42.180409,0.00600000005215,-0.0189999993891,0.0289999991655
2018/10/24/17:22:42.324943,-0.0320000015199,-0.0289999991655,0.019999999553
2018/10/24/17:22:42.474988,-0.145999997854,-0.142000004649,-0.0309999994934
2018/10/24/17:22:42.627988,-0.223000004888,-0.277000010014,-0.0570000000298
2018/10/24/17:22:42.780517,-0.337000012398,-0.444999992847,-0.0260000005364
2018/10/24/17:22:42.931628,-0.421000003815,-0.577000021935,0.0410000011325
2018/10/24/17:22:43.078696,-0.612999975681,-0.57800000906,0.0410000011325
2018/10/24/17:22:43.228618,-0.580999970436,-0.726999998093,-0.0280000008643
2018/10/24/17:22:43.378898,-0.602999985218,-0.809000015259,-0.0149999996647
2018/10/24/17:22:43.528913,-0.616999983788,-0.860000014305,0.0309999994934
2018/10/24/17:22:43.678820,-0.626999974251,-0.913999974728,0.00800000037998
2018/10/24/17:22:43.829891,-0.615000009537,-1.00999999046,-0.0329999998212
2018/10/24/17:22:43.980432,-0.628000020981,-1.08299994469,-0.0270000007004
2018/10/24/17:22:44.124869,-0.60799998045,-1.13399994373,0.00499999988824
2018/10/24/17:22:44.275368,-0.56400001049,-1.15600001812,-0.00999999977648
2018/10/24/17:22:44.428671,-0.518000006676,-1.19400000572,-0.019999999553
2018/10/24/17:22:44.579664,-0.490999996662,-1.23599994183,-0.0130000002682
2018/10/24/17:22:44.724129,-0.5,-1.25999999046,0.00700000021607
2018/10/24/17:22:44.874437,-0.479000002146,-1.29600000381,0.00200000009499
2018/10/24/17:22:45.031122,-0.490000009537,-1.31700003147,-0.00800000037998
2018/10/24/17:22:45.175056,-0.476999998093,-1.32899999619,-0.0240000002086
2018/10/24/17:22:45.329863,-0.439999997616,-1.34599995613,-0.0450000017881
2018/10/24/17:22:45.482194,-0.42199999094,-1.37199997902,-0.0320000015199
2018/10/24/17:22:45.630000,-0.398999989033,-1.38999998569,0.00200000009499
2018/10/24/17:22:45.780464,-0.375,-1.38900005817,0.01600000076
2018/10/24/17:22:45.924755,-0.345999985933,-1.38699996471,-0.0179999992251
2018/10/24/17:22:46.074659,-0.307999998331,-1.38999998569,-0.0379999987781
2018/10/24/17:22:46.230667,-0.294999986887,-1.3789999485,-0.00200000009499
2018/10/24/17:22:46.382877,-0.296000003815,-1.37600004673,0.00899999961257
2018/10/24/17:22:46.528656,-0.291999995708,-1.38300001621,-0.0179999992251
2018/10/24/17:22:46.678196,-0.256000012159,-1.38900005817,-0.0320000015199
2018/10/24/17:22:46.828954,-0.223000004888,-1.40299999714,-0.035000000149
2018/10/24/17:22:46.980083,-0.229000002146,-1.40600001812,-0.0340000018477
2018/10/24/17:22:47.131138,-0.223000004888,-1.42499995232,-0.0410000011325
2018/10/24/17:22:47.277740,-0.203999996185,-1.44900000095,-0.0189999993891
2018/10/24/17:22:47.429456,-0.178000003099,-1.45000004768,-0.0270000007004
2018/10/24/17:22:47.573266,-0.181999996305,-1.45500004292,-0.0410000011325
2018/10/24/17:22:47.723290,-0.190999999642,-1.43799996376,-0.0460000000894
2018/10/24/17:22:47.879791,-0.188999995589,-1.44599997997,-0.0450000017881
2018/10/24/17:22:48.032260,-0.171000003815,-1.47200000286,-0.0289999991655
2018/10/24/17:22:48.177676,-0.142000004649,-1.46899998188,-0.0189999993891
2018/10/24/17:22:48.327896,-0.108000002801,-1.46099996567,-0.0240000002086
2018/10/24/17:22:48.477939,-0.101000003517,-1.47500002384,-0.0379999987781
2018/10/24/17:22:48.630508,-0.0769999995828,-1.45799994469,-0.0250000003725
2018/10/24/17:22:48.776363,-0.0489999987185,-1.45500004292,-0.0149999996647
2018/10/24/17:22:48.928626,-0.0260000005364,-1.44900000095,-0.0320000015199
2018/10/24/17:22:49.078079,-0.00899999961257,-1.46700000763,-0.0309999994934
2018/10/24/17:22:49.227155,0.035000000149,-1.46700000763,-0.0179999992251
2018/10/24/17:22:49.378636,0.0509999990463,-1.46399998665,-0.0219999998808
