time,.x,.y,.z
2018/10/24/17:30:49.869450,0.019999999553,-0.0189999993891,0.0329999998212
2018/10/24/17:30:50.020182,0.00899999961257,-0.0299999993294,0.00300000002608
2018/10/24/17:30:50.176662,0.0,-0.00999999977648,-0.0299999993294
2018/10/24/17:30:50.320391,0.0010000000475,0.00200000009499,-0.0340000018477
2018/10/24/17:30:50.474550,0.0109999999404,-0.00899999961257,-0.0170000009239
2018/10/24/17:30:50.623618,0.0219999998808,-0.0280000008643,0.0189999993891
2018/10/24/17:30:50.776065,0.0240000002086,-0.0299999993294,0.0480000004172
2018/10/24/17:30:50.920439,0.01600000076,-0.0109999999404,0.0189999993891
2018/10/24/17:30:51.071280,0.0109999999404,0.00600000005215,-0.0430000014603
2018/10/24/17:30:51.221398,0.0130000002682,0.00400000018999,-0.0599999986589
2018/10/24/17:30:51.377779,0.0219999998808,-0.0179999992251,-0.01600000076
2018/10/24/17:30:51.524517,0.0280000008643,-0.0309999994934,0.01600000076
2018/10/24/17:30:51.675588,0.0149999996647,-0.0370000004768,-0.00499999988824
2018/10/24/17:30:51.826357,0.0,-0.0270000007004,-0.0260000005364
2018/10/24/17:30:51.971992,0.00499999988824,-0.0299999993294,-0.0130000002682
2018/10/24/17:30:52.125199,0.0209999997169,-0.0419999994338,-0.00800000037998
2018/10/24/17:30:52.275058,0.0230000000447,-0.0390000008047,-0.0240000002086
2018/10/24/17:30:52.424139,0.0140000004321,-0.0240000002086,-0.0320000015199
2018/10/24/17:30:52.575212,0.00700000021607,-0.00400000018999,-0.0130000002682
2018/10/24/17:30:52.721242,-0.0109999999404,-0.00899999961257,-0.0309999994934
2018/10/24/17:30:52.871531,-0.00899999961257,-0.0329999998212,-0.0680000036955
2018/10/24/17:30:53.020475,0.0149999996647,-0.0579999983311,-0.0379999987781
2018/10/24/17:30:53.178003,0.0219999998808,-0.0489999987185,0.0280000008643
2018/10/24/17:30:53.325927,-0.00999999977648,-0.0209999997169,0.0179999992251
2018/10/24/17:30:53.470493,-0.0329999998212,-0.00700000021607,-0.0489999987185
2018/10/24/17:30:53.627259,-0.0010000000475,-0.00700000021607,-0.0590000003576
2018/10/24/17:30:53.770932,0.0340000018477,-0.0120000001043,-0.0189999993891
2018/10/24/17:30:53.926203,0.0219999998808,-0.00999999977648,-0.0140000004321
2018/10/24/17:30:54.076227,-0.00899999961257,-0.0209999997169,-0.0260000005364
2018/10/24/17:30:54.226453,-0.0140000004321,-0.0299999993294,-0.0
2018/10/24/17:30:54.371089,0.00200000009499,-0.0250000003725,0.0170000009239
2018/10/24/17:30:54.521558,0.00400000018999,-0.0340000018477,-0.0219999998808
2018/10/24/17:30:54.671234,-0.00899999961257,-0.0390000008047,-0.0450000017881
2018/10/24/17:30:54.830388,-0.0140000004321,-0.0320000015199,-0.00999999977648
2018/10/24/17:30:54.974613,-0.00700000021607,-0.0299999993294,0.0109999999404
2018/10/24/17:30:55.124535,-0.00899999961257,-0.0379999987781,-0.0120000001043
2018/10/24/17:30:55.274722,-0.00999999977648,-0.054999999702,-0.0280000008643
2018/10/24/17:30:55.424222,-0.0140000004321,-0.0489999987185,-0.0120000001043
2018/10/24/17:30:55.576623,-0.0260000005364,-0.0500000007451,-0.00800000037998
2018/10/24/17:30:55.721327,-0.0329999998212,-0.0529999993742,-0.0299999993294
2018/10/24/17:30:55.874593,-0.0270000007004,-0.054999999702,-0.0270000007004
2018/10/24/17:30:56.024683,-0.019999999553,-0.0489999987185,0.0010000000475
2018/10/24/17:30:56.173432,-0.0280000008643,-0.0370000004768,-0.00600000005215
2018/10/24/17:30:56.323592,-0.0529999993742,-0.0689999982715,-0.0439999997616
2018/10/24/17:30:56.475679,-0.179000005126,-0.300999999046,-0.0410000011325
2018/10/24/17:30:56.619813,-0.231999993324,-0.552999973297,-0.070000000298
2018/10/24/17:30:56.769618,-0.333000004292,-0.81400001049,-0.0540000014007
