time,.x,.y,.theta
2018/10/24/17:29:27.823430,25.65331634,-100.29118206,-103.746002197
2018/10/24/17:29:27.973455,25.6533159,-100.29118425,-103.499000549
2018/10/24/17:29:28.123544,25.65331592,-100.29118638,-102.902000427
2018/10/24/17:29:28.269494,25.65331556,-100.29118853,-102.227996826
2018/10/24/17:29:28.419539,25.65331545,-100.29119083,-102.07900238
2018/10/24/17:29:28.573709,25.65331515,-100.29119303,-102.400001526
2018/10/24/17:29:28.722821,25.65331527,-100.29119555,-102.517997742
2018/10/24/17:29:28.874101,25.65331504,-100.2911977,-102.458000183
2018/10/24/17:29:29.025189,25.65331435,-100.29120003,-102.500999451
2018/10/24/17:29:29.175599,25.65331403,-100.29120223,-102.872001648
2018/10/24/17:29:29.325674,25.65331345,-100.29120485,-103.041999817
2018/10/24/17:29:29.473464,25.65331264,-100.29120738,-102.711997986
2018/10/24/17:29:29.622939,25.65331231,-100.29120976,-102.027999878
2018/10/24/17:29:29.772453,25.65331186,-100.29121199,-101.550003052
2018/10/24/17:29:29.923979,25.65331152,-100.29121404,-101.468002319
2018/10/24/17:29:30.074020,25.65331104,-100.29121629,-101.567001343
2018/10/24/17:29:30.224017,25.65331044,-100.29121857,-101.583999634
2018/10/24/17:29:30.373091,25.65331005,-100.29122076,-101.522003174
2018/10/24/17:29:30.523085,25.65330973,-100.29122332,-101.316001892
2018/10/24/17:29:30.673529,25.65330927,-100.2912255,-100.983001709
2018/10/24/17:29:30.824907,25.65330849,-100.29122841,-100.491996765
2018/10/24/17:29:30.974785,25.65330803,-100.29123069,-100.133003235
2018/10/24/17:29:31.124861,25.65330745,-100.29123298,-100.04699707
2018/10/24/17:29:31.272500,25.65330707,-100.29123524,-99.8359985352
2018/10/24/17:29:31.423047,25.65330669,-100.29123764,-99.3860015869
2018/10/24/17:29:31.574087,25.65330628,-100.29123989,-98.7600021362
2018/10/24/17:29:31.724284,25.65330577,-100.29124231,-98.1480026245
2018/10/24/17:29:31.875354,25.65330513,-100.29124421,-97.8140029907
2018/10/24/17:29:32.025129,25.65330458,-100.29124673,-97.75
2018/10/24/17:29:32.175386,25.65330424,-100.29124904,-97.5869979858
2018/10/24/17:29:32.323512,25.65330327,-100.29125173,-97.2649993896
2018/10/24/17:29:32.473477,25.6533036,-100.29125387,-96.8799972534
2018/10/24/17:29:32.630999,25.65330351,-100.2912567,-96.6279983521
2018/10/24/17:29:32.770718,25.6533032,-100.29125905,-96.2959976196
2018/10/24/17:29:32.923501,25.65330242,-100.29126183,-96.0739974976
2018/10/24/17:29:33.072312,25.65330214,-100.29126432,-95.9440002441
2018/10/24/17:29:33.222666,25.65330155,-100.29126714,-96.0650024414
2018/10/24/17:29:33.374254,25.65330124,-100.29126952,-96.3050003052
2018/10/24/17:29:33.518976,25.65330098,-100.29127188,-96.2060012817
2018/10/24/17:29:33.675266,25.65330096,-100.29127452,-95.888999939
2018/10/24/17:29:33.825340,25.65330183,-100.29127633,-95.763999939
2018/10/24/17:29:33.969060,25.65330157,-100.29127867,-96.0019989014
2018/10/24/17:29:34.123390,25.65330094,-100.29128088,-96.111000061
2018/10/24/17:29:34.274885,25.65330043,-100.29128332,-95.8359985352
2018/10/24/17:29:34.419643,25.6533002,-100.29128599,-95.5299987793
2018/10/24/17:29:34.569749,25.6532999,-100.29128836,-95.3629989624
2018/10/24/17:29:34.719669,25.65329963,-100.29129047,-95.2580032349
2018/10/24/17:29:34.875869,25.65329928,-100.2912927,-95.3570022583
2018/10/24/17:29:35.023494,25.65329936,-100.29129514,-95.5179977417
2018/10/24/17:29:35.175130,25.65329911,-100.29129757,-95.7369995117
2018/10/24/17:29:35.325147,25.65329917,-100.29130005,-95.9729995728
2018/10/24/17:29:35.475432,25.65329885,-100.29130252,-95.7239990234
2018/10/24/17:29:35.625605,25.65329913,-100.2913052,-95.1289978027
2018/10/24/17:29:35.773344,25.65329887,-100.29130765,-94.6050033569
2018/10/24/17:29:35.923514,25.65329835,-100.2913107,-94.6989974976
2018/10/24/17:29:36.076076,25.6532985,-100.2913135,-95.1679992676
2018/10/24/17:29:36.219863,25.65329814,-100.29131558,-95.3290023804
2018/10/24/17:29:36.370439,25.65329795,-100.29131799,-95.1060028076
2018/10/24/17:29:36.526754,25.65329771,-100.29132042,-94.81300354
2018/10/24/17:29:36.673093,25.65329785,-100.29132316,-94.5429992676
2018/10/24/17:29:36.823322,25.65329689,-100.29132607,-94.2099990845
2018/10/24/17:29:36.973422,25.65329667,-100.29132845,-93.9069976807
2018/10/24/17:29:37.124752,25.65329639,-100.29133138,-93.8840026855
2018/10/24/17:29:37.275482,25.65329668,-100.29133294,-94.1940002441
2018/10/24/17:29:37.423852,25.65329692,-100.2913351,-94.4879989624
2018/10/24/17:29:37.573814,25.65329685,-100.29133689,-94.8669967651
2018/10/24/17:29:37.726480,25.65329746,-100.29133874,-95.0220031738
2018/10/24/17:29:37.877727,25.65329784,-100.29133974,-95.0709991455
2018/10/24/17:29:38.024281,25.65329765,-100.29134099,-95.0370025635
2018/10/24/17:29:38.174282,25.65329767,-100.29134256,-94.9929962158
2018/10/24/17:29:38.324176,25.65329847,-100.29134424,-94.9840011597
