time,.x,.y,.theta
2018/10/24/17:20:24.998415,25.65334246,-100.29111276,-137.113998413
2018/10/24/17:20:25.032855,25.65334237,-100.29111262,-137.195999146
2018/10/24/17:20:25.176558,25.6533423,-100.29111267,-137.356002808
2018/10/24/17:20:25.327110,25.6533424,-100.29111278,-137.518005371
2018/10/24/17:20:25.483852,25.65334216,-100.29111271,-137.67300415
2018/10/24/17:20:25.630820,25.65334225,-100.29111264,-137.865997314
2018/10/24/17:20:25.782485,25.65334207,-100.29111261,-138.123001099
2018/10/24/17:20:25.933450,25.65334216,-100.29111275,-138.423995972
2018/10/24/17:20:26.080476,25.65334202,-100.29111277,-138.753005981
2018/10/24/17:20:26.231113,25.65334157,-100.29111239,-139.050003052
2018/10/24/17:20:26.381380,25.65334156,-100.29111244,-139.263000488
2018/10/24/17:20:26.530171,25.65334162,-100.29111255,-139.434005737
2018/10/24/17:20:26.681493,25.65334159,-100.29111251,-139.602996826
2018/10/24/17:20:26.826217,25.65334158,-100.29111258,-139.529998779
2018/10/24/17:20:26.976595,25.65334161,-100.29111266,-139.130996704
2018/10/24/17:20:27.126420,25.65334168,-100.29111278,-138.645996094
2018/10/24/17:20:27.283136,25.65334165,-100.29111289,-138.227005005
2018/10/24/17:20:27.430858,25.65334118,-100.29111283,-137.92199707
2018/10/24/17:20:27.581968,25.65334124,-100.29111282,-137.722000122
2018/10/24/17:20:27.731916,25.65334132,-100.29111292,-137.582992554
2018/10/24/17:20:27.875727,25.65334122,-100.29111277,-137.473999023
2018/10/24/17:20:28.030302,25.65334122,-100.29111279,-137.386993408
2018/10/24/17:20:28.181355,25.65334122,-100.29111278,-137.319000244
2018/10/24/17:20:28.331574,25.65334129,-100.29111291,-137.276000977
2018/10/24/17:20:28.476414,25.65334128,-100.29111293,-137.289001465
2018/10/24/17:20:28.626338,25.65334133,-100.29111293,-137.333999634
2018/10/24/17:20:28.776500,25.65334135,-100.2911129,-137.380004883
2018/10/24/17:20:28.932772,25.65334142,-100.29111301,-137.371994019
2018/10/24/17:20:29.080806,25.65334116,-100.29111284,-137.296005249
2018/10/24/17:20:29.232086,25.65334094,-100.29111294,-137.136001587
2018/10/24/17:20:29.383295,25.65334105,-100.291113,-136.899993896
2018/10/24/17:20:29.529908,25.65334111,-100.29111313,-136.56300354
2018/10/24/17:20:29.681362,25.65334107,-100.29111322,-136.179992676
2018/10/24/17:20:29.831125,25.6533411,-100.29111331,-135.824005127
2018/10/24/17:20:29.980390,25.65334116,-100.29111336,-135.470001221
2018/10/24/17:20:30.130304,25.65334123,-100.29111349,-135.070999146
2018/10/24/17:20:30.280366,25.65334133,-100.29111357,-134.660003662
2018/10/24/17:20:30.426186,25.65334134,-100.29111362,-134.31199646
2018/10/24/17:20:30.576587,25.65334143,-100.29111362,-134.063995361
2018/10/24/17:20:30.732766,25.6533415,-100.29111375,-133.925994873
2018/10/24/17:20:30.879608,25.65334158,-100.2911138,-133.930999756
2018/10/24/17:20:31.031106,25.65334154,-100.2911139,-134.108001709
2018/10/24/17:20:31.179812,25.65334153,-100.29111403,-134.350997925
2018/10/24/17:20:31.331238,25.65334161,-100.29111418,-134.550994873
2018/10/24/17:20:31.481198,25.65334159,-100.29111433,-134.682998657
2018/10/24/17:20:31.630246,25.65334152,-100.29111458,-134.537994385
2018/10/24/17:20:31.780930,25.65334119,-100.29111489,-134.115997314
