time,.x,.y,.theta
2019/02/15/16:06:56.035193,25.65332605,-100.29114413,-1.40130713717
2019/02/15/16:06:56.151950,25.65332665,-100.29114465,-1.39636777332
2019/02/15/16:06:56.259890,25.65332699,-100.29114532,-1.38746669186
2019/02/15/16:06:56.379178,25.65332713,-100.29114575,-1.3778149986
2019/02/15/16:06:56.473099,25.65332749,-100.29114641,-1.36687180565
2019/02/15/16:06:56.627339,25.65332781,-100.29114731,-1.35797059103
2019/02/15/16:06:56.735366,25.6533283,-100.2911482,-1.34699251067
2019/02/15/16:06:56.851054,25.65332851,-100.29114906,-1.34296075193
2019/02/15/16:06:56.955373,25.65332905,-100.29114976,-1.34179135814
2019/02/15/16:06:57.063277,25.65332939,-100.29115037,-1.34168669593
2019/02/15/16:06:57.181939,25.65332952,-100.29115051,-1.34130266818
2019/02/15/16:06:57.284240,25.6533299,-100.29115118,-1.33824842252
2019/02/15/16:06:57.384558,25.65333055,-100.2911514,-1.33358829106
2019/02/15/16:06:57.539089,25.65333088,-100.29115196,-1.32939953901
2019/02/15/16:06:57.656570,25.65333141,-100.29115289,-1.32606592781
2019/02/15/16:06:57.757962,25.65333182,-100.29115358,-1.32496644198
2019/02/15/16:06:57.860298,25.65333216,-100.29115414,-1.32480931551
2019/02/15/16:06:57.961590,25.65333257,-100.29115456,-1.32453008313
2019/02/15/16:06:58.078034,25.6533329,-100.29115512,-1.32367494228
2019/02/15/16:06:58.181569,25.6533332,-100.29115577,-1.32283711197
2019/02/15/16:06:58.283182,25.65333352,-100.29115634,-1.32325602712
2019/02/15/16:06:58.384582,25.65333407,-100.29115688,-1.32365736542
2019/02/15/16:06:58.486043,25.6533344,-100.29115746,-1.32233097831
2019/02/15/16:06:58.575565,25.65333453,-100.29115819,-1.31938139486
2019/02/15/16:06:58.683077,25.65333481,-100.29115871,-1.31601289626
2019/02/15/16:06:58.787028,25.65333518,-100.29116003,-1.31114344037
2019/02/15/16:06:58.904623,25.6533355,-100.29116069,-1.30566305547
2019/02/15/16:06:59.019963,25.65333581,-100.29116156,-1.30077615588
2019/02/15/16:06:59.134927,25.65333615,-100.29116229,-1.29653507273
2019/02/15/16:06:59.252579,25.65333664,-100.29116328,-1.29325379263
2019/02/15/16:06:59.363622,25.65333712,-100.29116412,-1.29175283535
2019/02/15/16:06:59.473326,25.65333746,-100.29116482,-1.29234618752
2019/02/15/16:06:59.556067,25.65333784,-100.29116524,-1.29449296123
2019/02/15/16:06:59.655762,25.6533381,-100.29116579,-1.2972330871
2019/02/15/16:06:59.760431,25.65333844,-100.291166,-1.30084593069
2019/02/15/16:06:59.878737,25.65333874,-100.2911666,-1.3025913661
2019/02/15/16:06:59.981486,25.65333907,-100.2911672,-1.30128228954
2019/02/15/16:07:00.083441,25.65333938,-100.29116779,-1.29899596622
2019/02/15/16:07:00.185771,25.65333988,-100.29116855,-1.29566235502
2019/02/15/16:07:00.302855,25.65334019,-100.29116914,-1.29105468782
2019/02/15/16:07:00.410317,25.65334049,-100.29116946,-1.2854870844
