time,.x,.y,.theta
2018/10/24/17:35:33.019295,25.65336344,-100.29112818,-154.712005615
2018/10/24/17:35:33.154305,25.6533634,-100.29112821,-154.811004639
2018/10/24/17:35:33.305987,25.65336338,-100.29112794,-154.89100647
2018/10/24/17:35:33.450371,25.65336342,-100.29112791,-155.003005981
2018/10/24/17:35:33.607145,25.65336342,-100.29112793,-155.125
2018/10/24/17:35:33.757083,25.65336339,-100.29112795,-155.276000977
2018/10/24/17:35:33.905077,25.65336329,-100.29112798,-155.425994873
2018/10/24/17:35:34.054981,25.65336322,-100.2911279,-155.550003052
2018/10/24/17:35:34.206002,25.65336315,-100.29112788,-155.697006226
2018/10/24/17:35:34.350731,25.65336311,-100.2911279,-155.809997559
2018/10/24/17:35:34.500892,25.65336312,-100.29112771,-155.820007324
2018/10/24/17:35:34.649996,25.65336306,-100.29112757,-155.789001465
2018/10/24/17:35:34.800022,25.65336308,-100.29112748,-155.746002197
2018/10/24/17:35:34.950064,25.65336303,-100.29112751,-155.714996338
2018/10/24/17:35:35.107931,25.65336295,-100.29112727,-155.716003418
2018/10/24/17:35:35.254504,25.65336292,-100.29112718,-155.625
2018/10/24/17:35:35.405773,25.65336276,-100.29112719,-155.382003784
2018/10/24/17:35:35.556076,25.65336271,-100.29112721,-155.106994629
2018/10/24/17:35:35.704656,25.65336265,-100.29112717,-154.817001343
2018/10/24/17:35:35.853547,25.65336248,-100.29112703,-154.552993774
2018/10/24/17:35:36.004982,25.65336246,-100.29112697,-154.402999878
2018/10/24/17:35:36.155183,25.65336241,-100.29112699,-154.358001709
2018/10/24/17:35:36.299777,25.65336239,-100.29112687,-154.371002197
2018/10/24/17:35:36.449859,25.65336235,-100.29112665,-154.455001831
2018/10/24/17:35:36.600056,25.65336235,-100.29112658,-154.496994019
2018/10/24/17:35:36.756610,25.65336229,-100.29112659,-154.444000244
2018/10/24/17:35:36.900247,25.65336236,-100.2911265,-154.399002075
2018/10/24/17:35:37.054750,25.65336239,-100.2911265,-154.386993408
2018/10/24/17:35:37.205840,25.6533624,-100.29112636,-154.388000488
2018/10/24/17:35:37.356421,25.65336235,-100.29112637,-154.417007446
2018/10/24/17:35:37.501127,25.6533622,-100.29112627,-154.473999023
2018/10/24/17:35:37.650767,25.65336217,-100.29112624,-154.51499939
2018/10/24/17:35:37.800984,25.65336214,-100.29112623,-154.516998291
2018/10/24/17:35:37.957606,25.65336208,-100.29112625,-154.49899292
2018/10/24/17:35:38.105767,25.65336214,-100.29112614,-154.458999634
2018/10/24/17:35:38.249975,25.65336226,-100.29112607,-154.457000732
