time,.x,.y,.z
2018/10/24/17:33:52.952687,0.00999999977648,0.01600000076,-0.0010000000475
2018/10/24/17:33:53.102918,0.00700000021607,0.01600000076,-0.0109999999404
2018/10/24/17:33:53.254317,0.00600000005215,0.0149999996647,-0.0209999997169
2018/10/24/17:33:53.404445,0.00499999988824,0.0170000009239,-0.0170000009239
2018/10/24/17:33:53.555630,0.00800000037998,0.0109999999404,-0.00899999961257
2018/10/24/17:33:53.705884,0.00600000005215,0.00600000005215,-0.0109999999404
2018/10/24/17:33:53.855750,-0.0,-0.0,-0.0120000001043
2018/10/24/17:33:54.003621,0.0010000000475,0.00300000002608,-0.00999999977648
2018/10/24/17:33:54.153725,0.00300000002608,0.00600000005215,-0.0120000001043
2018/10/24/17:33:54.303717,-0.00200000009499,0.0109999999404,-0.0149999996647
2018/10/24/17:33:54.456080,0.00300000002608,-0.00300000002608,-0.0189999993891
2018/10/24/17:33:54.599989,-0.00499999988824,-0.00300000002608,-0.019999999553
2018/10/24/17:33:54.750195,-0.00700000021607,0.00400000018999,-0.01600000076
2018/10/24/17:33:54.906867,-0.00800000037998,0.00800000037998,-0.00700000021607
2018/10/24/17:33:55.053414,-0.00600000005215,-0.00600000005215,-0.00499999988824
2018/10/24/17:33:55.203237,-0.00400000018999,-0.0140000004321,-0.00899999961257
2018/10/24/17:33:55.354091,-0.00200000009499,-0.00800000037998,-0.0140000004321
2018/10/24/17:33:55.504056,0.00200000009499,-0.00999999977648,-0.0189999993891
2018/10/24/17:33:55.656577,0.00999999977648,-0.00499999988824,-0.0170000009239
2018/10/24/17:33:55.801154,0.0130000002682,-0.00400000018999,-0.00300000002608
2018/10/24/17:33:55.955371,0.0179999992251,-0.00400000018999,0.0010000000475
2018/10/24/17:33:56.103993,0.0209999997169,-0.00300000002608,-0.00499999988824
2018/10/24/17:33:56.252962,0.0240000002086,-0.00600000005215,-0.0120000001043
2018/10/24/17:33:56.404775,0.0260000005364,-0.0130000002682,-0.00899999961257
2018/10/24/17:33:56.554746,0.0280000008643,-0.0149999996647,0.0010000000475
2018/10/24/17:33:56.704791,0.0240000002086,-0.00899999961257,0.00400000018999
2018/10/24/17:33:56.856045,0.0130000002682,0.00200000009499,-0.00200000009499
2018/10/24/17:33:57.005966,0.00200000009499,0.00999999977648,-0.00800000037998
2018/10/24/17:33:57.153725,0.00700000021607,-0.00800000037998,-0.00300000002608
2018/10/24/17:33:57.306368,0.00300000002608,-0.0240000002086,0.00600000005215
2018/10/24/17:33:57.457611,-0.00700000021607,-0.0359999984503,0.00499999988824
2018/10/24/17:33:57.605259,-0.0170000009239,-0.035000000149,0.0
2018/10/24/17:33:57.754245,-0.0140000004321,-0.0289999991655,0.00200000009499
2018/10/24/17:33:57.903185,-0.00400000018999,-0.0240000002086,-0.0010000000475
2018/10/24/17:33:58.054436,0.00899999961257,-0.0240000002086,-0.00899999961257
2018/10/24/17:33:58.200595,0.00999999977648,-0.0230000000447,-0.00600000005215
2018/10/24/17:33:58.357244,0.00800000037998,-0.0219999998808,0.00800000037998
2018/10/24/17:33:58.503495,-0.00899999961257,-0.0410000011325,0.0120000001043
2018/10/24/17:33:58.653532,-0.0769999995828,-0.128999993205,0.00600000005215
2018/10/24/17:33:58.803668,-0.134000003338,-0.209999993443,-0.0130000002682
2018/10/24/17:33:58.955122,-0.209000006318,-0.305000007153,-0.0250000003725
2018/10/24/17:33:59.103983,-0.268000006676,-0.389999985695,0.0
2018/10/24/17:33:59.255370,-0.310000002384,-0.451000005007,0.0250000003725
2018/10/24/17:33:59.405381,-0.425000011921,-0.472000002861,0.0170000009239
2018/10/24/17:33:59.550143,-0.460000008345,-0.527999997139,0.00700000021607
2018/10/24/17:33:59.700191,-0.467999994755,-0.600000023842,-0.00499999988824
2018/10/24/17:33:59.854640,-0.523999989033,-0.648000001907,-0.0120000001043
2018/10/24/17:34:00.004827,-0.550000011921,-0.693000018597,-0.00700000021607
2018/10/24/17:34:00.156057,-0.569999992847,-0.728999972343,0.0
2018/10/24/17:34:00.306051,-0.537999987602,-0.786000013351,-0.00800000037998
2018/10/24/17:34:00.456689,-0.519999980927,-0.82800000906,-0.0120000001043
2018/10/24/17:34:00.604441,-0.488000005484,-0.893000006676,-0.00700000021607
2018/10/24/17:34:00.754627,-0.485000014305,-0.921000003815,-0.00400000018999
2018/10/24/17:34:00.904855,-0.481999993324,-0.939999997616,-0.00999999977648
2018/10/24/17:34:01.056001,-0.486999988556,-0.949999988079,-0.0149999996647
2018/10/24/17:34:01.200529,-0.483000010252,-0.961000025272,-0.0289999991655
2018/10/24/17:34:01.350740,-0.476000010967,-0.977999985218,-0.0359999984503
2018/10/24/17:34:01.507370,-0.474000006914,-1.0039999485,-0.0280000008643
2018/10/24/17:34:01.653938,-0.479000002146,-1.00199997425,-0.0250000003725
2018/10/24/17:34:01.803964,-0.462999999523,-1.01699995995,-0.0359999984503
2018/10/24/17:34:01.954126,-0.444999992847,-1.03199994564,-0.0460000000894
2018/10/24/17:34:02.105523,-0.409000009298,-1.04499995708,-0.0390000008047
2018/10/24/17:34:02.256675,-0.389999985695,-1.0529999733,-0.0379999987781
2018/10/24/17:34:02.401237,-0.384999990463,-1.06099998951,-0.054999999702
2018/10/24/17:34:02.555797,-0.36700001359,-1.07500004768,-0.0610000006855
2018/10/24/17:34:02.704672,-0.337999999523,-1.10199999809,-0.0520000010729
2018/10/24/17:34:02.853386,-0.351999998093,-1.09700000286,-0.0410000011325
2018/10/24/17:34:03.004834,-0.326000005007,-1.10699999332,-0.0480000004172
2018/10/24/17:34:03.154984,-0.307999998331,-1.11500000954,-0.0590000003576
2018/10/24/17:34:03.305103,-0.28900000453,-1.12800002098,-0.0689999982715
2018/10/24/17:34:03.449905,-0.266999989748,-1.1590000391,-0.0599999986589
2018/10/24/17:34:03.606354,-0.252000004053,-1.15499997139,-0.0599999986589
2018/10/24/17:34:03.756473,-0.240999996662,-1.15600001812,-0.0640000030398
2018/10/24/17:34:03.904753,-0.233999997377,-1.17200005054,-0.0630000010133
2018/10/24/17:34:04.056510,-0.211999997497,-1.19299995899,-0.0630000010133
2018/10/24/17:34:04.206686,-0.194000005722,-1.2009999752,-0.0670000016689
2018/10/24/17:34:04.351484,-0.175999999046,-1.19799995422,-0.0790000036359
2018/10/24/17:34:04.501494,-0.159999996424,-1.1970000267,-0.0850000008941
2018/10/24/17:34:04.655493,-0.149000003934,-1.17700004578,-0.0750000029802
2018/10/24/17:34:04.805578,-0.12800000608,-1.17499995232,-0.0630000010133
2018/10/24/17:34:04.953885,-0.104000002146,-1.18099999428,-0.0680000036955
2018/10/24/17:34:05.104387,-0.0869999974966,-1.16900002956,-0.070000000298
2018/10/24/17:34:05.255442,-0.082000002265,-1.17599999905,-0.0750000029802
2018/10/24/17:34:05.405481,-0.0570000000298,-1.17700004578,-0.0850000008941
2018/10/24/17:34:05.556722,-0.0410000011325,-1.18200004101,-0.0780000016093
2018/10/24/17:34:05.704765,-0.0010000000475,-1.1779999733,-0.0649999976158
2018/10/24/17:34:05.853659,0.0149999996647,-1.17100000381,-0.0710000023246
2018/10/24/17:34:06.005092,0.0419999994338,-1.15400004387,-0.0799999982119
2018/10/24/17:34:06.151108,0.0619999989867,-1.15799999237,-0.0719999969006
2018/10/24/17:34:06.307600,0.0850000008941,-1.15699994564,-0.0680000036955
2018/10/24/17:34:06.454318,0.107000000775,-1.1289999485,-0.0759999975562
2018/10/24/17:34:06.604573,0.112999998033,-1.13900005817,-0.0810000002384
2018/10/24/17:34:06.754678,0.131999999285,-1.13999998569,-0.070000000298
2018/10/24/17:34:06.906716,0.144999995828,-1.13300001621,-0.0719999969006
