time,.x,.y,.z
2019/02/15/16:19:38.111120,0.0297874324024,-0.0133681949228,0.0142480004579
2019/02/15/16:19:38.203362,0.0285035092384,-0.00845873448998,0.015768000856
2019/02/15/16:19:38.323796,0.0294930581003,-0.00843562372029,0.0187170002609
2019/02/15/16:19:38.445143,0.024864172563,0.00328221684322,0.0187570005655
2019/02/15/16:19:38.543632,0.0227225199342,0.00613898411393,0.0139319999143
2019/02/15/16:19:38.668119,0.0207776017487,0.00502904038876,0.00784100033343
2019/02/15/16:19:38.775837,0.0135908257216,0.00867694988847,0.000437999988208
2019/02/15/16:19:38.893747,0.0115872407332,0.0085869608447,-0.0107599999756
2019/02/15/16:19:38.994557,0.0104225436226,0.011548618786,-0.0105860000476
2019/02/15/16:19:39.143480,0.0152505449951,0.0148128615692,-0.00558499991894
2019/02/15/16:19:39.244637,0.0344743952155,0.0108404755592,-0.0118960002437
2019/02/15/16:19:39.364539,0.0338932275772,0.00287210568786,-0.0253410004079
2019/02/15/16:19:39.471418,0.0283654872328,-0.00532908830792,-0.0361820012331
2019/02/15/16:19:39.590877,0.0317445471883,0.00502829812467,-0.00917399954051
2019/02/15/16:19:39.697806,0.020397849381,0.0253757350147,-0.00276899989694
2019/02/15/16:19:39.816538,0.017461810261,0.0241885334253,-0.00133799994364
2019/02/15/16:19:39.920823,0.0155319860205,0.0230598673224,-0.001215999946
2019/02/15/16:19:40.022223,0.00942185148597,0.0246622953564,-0.000361999991583
2019/02/15/16:19:40.109783,0.0124944951385,0.0238513667136,0.000163999997312
2019/02/15/16:19:40.201695,0.0223676450551,0.0264705214649,0.00865800026804
2019/02/15/16:19:40.316879,0.028911171481,0.0348445735872,0.0215489994735
2019/02/15/16:19:40.419020,0.0316879302263,0.0409007929265,0.0264730006456
2019/02/15/16:19:40.521831,0.0282824523747,0.0316244028509,0.0118909999728
2019/02/15/16:19:40.642789,0.0222421996295,0.0142577951774,-0.0126569997519
2019/02/15/16:19:40.747953,0.0190844032913,-0.000886320136487,-0.0324449986219
2019/02/15/16:19:40.866874,0.0217727907002,0.00435266690329,-0.0315800011158
2019/02/15/16:19:40.973145,0.0226106327027,0.0385066121817,0.00859699957073
2019/02/15/16:19:41.114567,0.0280040428042,0.0498073734343,0.0224380008876
2019/02/15/16:19:41.221648,0.0213455893099,0.0463180989027,0.018377000466
2019/02/15/16:19:41.342629,0.0143155930564,0.0298674348742,-0.00379800004885
2019/02/15/16:19:41.442915,0.00680964207277,0.00341009953991,-0.0398419983685
2019/02/15/16:19:41.544176,0.0227056350559,0.00542716868222,-0.00704499986023
2019/02/15/16:19:41.661882,0.019749969244,0.0202962756157,-0.0101840002462
2019/02/15/16:19:41.769775,0.0375592671335,0.039475325495,0.0195390004665
2019/02/15/16:19:41.886456,0.0679949894547,0.0530912615359,0.0568349994719
2019/02/15/16:19:41.997613,0.12850998342,0.0499518364668,0.0456719994545
2019/02/15/16:19:42.137678,0.174276307225,0.0380101278424,0.000125999999
2019/02/15/16:19:42.239129,0.224011301994,0.0233223550022,-0.10130699724
2019/02/15/16:19:42.341997,0.244893223047,0.0240688025951,-0.162213996053
2019/02/15/16:19:42.443705,0.271279722452,0.0311819389462,-0.188079997897
2019/02/15/16:19:42.563847,0.300230264664,0.0418544709682,-0.125752002001
2019/02/15/16:19:42.673540,0.343693196774,0.0577926188707,0.0543430000544
2019/02/15/16:19:42.789505,0.396305352449,0.0578103289008,0.214531004429
2019/02/15/16:19:42.898977,0.445064693689,0.0448938570917,0.299867987633
2019/02/15/16:19:43.008020,0.474563926458,0.0215189270675,0.270251005888
