time,.data
2019/02/15/16:03:01.562444,-1.57
2019/02/15/16:03:01.658041,-1.57
2019/02/15/16:03:01.759334,-1.57
2019/02/15/16:03:01.860198,-1.57
2019/02/15/16:03:01.961753,-1.57
2019/02/15/16:03:02.063517,-1.57
2019/02/15/16:03:02.165436,-1.57
2019/02/15/16:03:02.266943,-1.57
2019/02/15/16:03:02.368938,-1.57
2019/02/15/16:03:02.470777,-1.57
2019/02/15/16:03:02.572264,-1.57
2019/02/15/16:03:02.673573,-1.57
2019/02/15/16:03:02.775726,-1.57
2019/02/15/16:03:02.882087,-1.57
2019/02/15/16:03:02.982547,-1.57
2019/02/15/16:03:03.083350,-1.57
2019/02/15/16:03:03.186351,-1.57
2019/02/15/16:03:03.287247,-1.57
2019/02/15/16:03:03.388341,-1.57
2019/02/15/16:03:03.489746,-1.57
2019/02/15/16:03:03.591891,-1.57
2019/02/15/16:03:03.693148,-1.57
2019/02/15/16:03:03.794747,-1.57
2019/02/15/16:03:03.901221,-1.57
2019/02/15/16:03:03.999284,-1.57
2019/02/15/16:03:04.101992,-1.57
2019/02/15/16:03:04.203449,-1.57
2019/02/15/16:03:04.305450,-1.57
2019/02/15/16:03:04.407763,-1.57
2019/02/15/16:03:04.509346,-1.57
2019/02/15/16:03:04.611165,-1.57
2019/02/15/16:03:04.713051,-1.57
2019/02/15/16:03:04.816250,-1.57
2019/02/15/16:03:04.917040,-1.57
2019/02/15/16:03:05.018751,-1.57
2019/02/15/16:03:05.120928,-1.57
2019/02/15/16:03:05.222547,-1.57
2019/02/15/16:03:05.324757,-1.57
2019/02/15/16:03:05.426202,-1.57
2019/02/15/16:03:05.528180,-1.57
2019/02/15/16:03:05.630976,-1.57
2019/02/15/16:03:05.732694,-1.57
2019/02/15/16:03:05.835114,-1.57
2019/02/15/16:03:05.937140,-1.57
2019/02/15/16:03:06.039407,-1.57
2019/02/15/16:03:06.141003,-1.57
2019/02/15/16:03:06.243819,-1.57
2019/02/15/16:03:06.346606,-1.57
2019/02/15/16:03:06.448576,-1.57
2019/02/15/16:03:06.550362,-1.57
2019/02/15/16:03:06.652808,-1.57
2019/02/15/16:03:06.755469,-1.57
2019/02/15/16:03:06.857309,-1.57
2019/02/15/16:03:06.959451,-1.57
2019/02/15/16:03:07.061759,-1.57
2019/02/15/16:03:07.163744,-1.57
2019/02/15/16:03:07.266392,-1.57
2019/02/15/16:03:07.367582,-1.57
2019/02/15/16:03:07.469274,-1.57
2019/02/15/16:03:07.570802,-1.57
2019/02/15/16:03:07.672527,-1.57
2019/02/15/16:03:07.774687,-1.57
2019/02/15/16:03:07.876429,-1.57
2019/02/15/16:03:07.978449,-1.57
2019/02/15/16:03:08.081092,-1.57
2019/02/15/16:03:08.183440,-1.57
2019/02/15/16:03:08.284395,-1.57
2019/02/15/16:03:08.386404,-1.57
2019/02/15/16:03:08.488078,-1.57
2019/02/15/16:03:08.590683,-1.57
2019/02/15/16:03:08.691316,-1.57
2019/02/15/16:03:08.793256,-1.57
2019/02/15/16:03:08.894966,-1.57
2019/02/15/16:03:08.996802,-1.57
2019/02/15/16:03:09.098323,-1.57
2019/02/15/16:03:09.199520,-1.57
2019/02/15/16:03:09.300868,-1.57
2019/02/15/16:03:09.402272,-1.57
2019/02/15/16:03:09.503875,-1.57
