time,.data
2019/02/15/16:29:12.926284,-170.912958827
2019/02/15/16:29:13.043463,-167.060969883
2019/02/15/16:29:13.156851,-66.5119354465
2019/02/15/16:29:13.263752,-64.7840190862
2019/02/15/16:29:13.375728,-62.7391730992
2019/02/15/16:29:13.490194,-60.9085466726
2019/02/15/16:29:13.602440,-58.7252437814
2019/02/15/16:29:13.721316,-56.5727621071
2019/02/15/16:29:13.830969,-54.3030461418
2019/02/15/16:29:13.946079,-52.8321472495
2019/02/15/16:29:14.054582,-52.3379155333
2019/02/15/16:29:14.169324,-51.7182076448
2019/02/15/16:29:14.277929,-51.2278317498
2019/02/15/16:29:14.394989,-51.0286442163
2019/02/15/16:29:14.510204,-51.0615503151
2019/02/15/16:29:14.622774,-51.2056072303
2019/02/15/16:29:14.735409,-51.2969733648
2019/02/15/16:29:14.852851,-51.1942370522
2019/02/15/16:29:14.968230,-50.953672226
2019/02/15/16:29:15.084385,-50.6075599
2019/02/15/16:29:15.199305,-50.3830077253
2019/02/15/16:29:15.309447,-50.2658503603
2019/02/15/16:29:15.418346,-50.0620318786
2019/02/15/16:29:15.530998,-49.5856777997
2019/02/15/16:29:15.643659,-48.9067594966
2019/02/15/16:29:15.755474,-47.8300056591
2019/02/15/16:29:15.863311,-46.5097459653
2019/02/15/16:29:15.976710,-44.7671478362
2019/02/15/16:29:16.086970,-43.0357358551
2019/02/15/16:29:16.204325,-40.347725913
2019/02/15/16:29:16.311870,-38.3821157344
2019/02/15/16:29:16.421612,-36.5594641271
2019/02/15/16:29:16.531085,-35.1646441051
2019/02/15/16:29:16.644264,-33.9057660686
2019/02/15/16:29:16.755529,-32.7381961361
2019/02/15/16:29:16.865453,-31.5587708419
2019/02/15/16:29:16.974352,-30.4272195034
2019/02/15/16:29:17.090497,-29.3471997058
2019/02/15/16:29:17.202038,-28.4839592843
2019/02/15/16:29:17.312757,-26.7128289022
2019/02/15/16:29:17.429433,-25.9907794618
2019/02/15/16:29:17.545059,-25.2473027905
2019/02/15/16:29:17.663345,-24.6429249739
2019/02/15/16:29:17.761488,-24.0244725171
2019/02/15/16:29:17.880440,-24.0618237144
